,tweet,conll,true,predicted
0,pure trash ,"1	pure	_	A	A	_	2	_	_	_
2	trash	_	N	N	_	0	_	_	_",-1,1
1,  last thought before bed: in '92 we had a mock election in 3rd grade and i voted for perot. maybe i related to his rea,"1	last	_	A	A	_	2	_	_	_
2	thought	_	V	V	_	0	_	_	_
3	before	_	P	P	_	2	_	_	_
4	bed	_	N	N	_	3	_	_	_
5	:	_	,	,	_	-1	_	_	_
6	in	_	P	P	_	4	_	_	_
7	'	_	,	,	_	-1	_	_	_
8	92	_	$	$	_	6	_	_	_
9	we	_	O	O	_	10	_	_	_
10	had	_	V	V	_	17	CONJ	_	_
11	a	_	D	D	_	13	_	_	_
12	mock	_	A	A	_	13	_	_	_
13	election	_	N	N	_	10	_	_	_
14	in	_	P	P	_	10	_	_	_
15	3rd	_	A	A	_	16	_	_	_
16	grade	_	N	N	_	14	_	_	_
17	and	_	&	&	_	0	_	_	_
18	i	_	O	O	_	19	_	_	_
19	voted	_	V	V	_	17	CONJ	_	_
20	for	_	P	P	_	19	_	_	_
21	perot	_	N	N	_	20	_	_	_
22	.	_	,	,	_	-1	_	_	_
23	maybe	_	R	R	_	0	_	_	_
24	i	_	O	O	_	25	_	_	_
25	related	_	V	V	_	23	_	_	_
26	to	_	P	P	_	25	_	_	_
27	his	_	D	D	_	26	_	_	_
28	rea	_	G	G	_	-1	_	_	_",1,-1
2,ah nigga dat cares about opinions and get involve in hoe shit either gay broke or ain't getting enough pussy,"1	ah	_	!	!	_	0	_	_	_
2	nigga	_	!	!	_	0	_	_	_
3	dat	_	O	O	_	4	_	_	_
4	cares	_	V	V	_	7	CONJ	_	_
5	about	_	P	P	_	4	_	_	_
6	opinions	_	N	N	_	4	_	_	_
7	and	_	&	&	_	0	_	_	_
8	get	_	V	V	_	7	CONJ	_	_
9	involve	_	V	V	_	8	_	_	_
10	in	_	P	P	_	9	_	_	_
11	hoe	_	N	N	_	12	_	_	_
12	shit	_	N	N	_	10	_	_	_
13	either	_	D	D	_	16	_	_	_
14	gay	_	A	A	_	15	_	_	_
15	broke	_	A	A	_	16	CONJ	_	_
16	or	_	&	&	_	5	_	_	_
17	ain't	_	V	V	_	16	CONJ	_	_
18	getting	_	V	V	_	17	_	_	_
19	enough	_	A	A	_	20	_	_	_
20	pussy	_	N	N	_	18	_	_	_",-1,1
3,  mine too    this ma niggah  ,"1	mine	_	O	O	_	2	_	_	_
2	too	_	R	R	_	3	_	_	_
3	this	_	O	O	_	0	_	_	_
4	ma	_	D	D	_	5	_	_	_
5	niggah	_	N	N	_	3	_	_	_",-1,1
4,  i hate hoe ass people.,"1	i	_	O	O	_	2	_	_	_
2	hate	_	V	V	_	0	_	_	_
3	hoe	_	N	N	_	5	_	_	_
4	ass	_	N	N	_	5	_	_	_
5	people	_	N	N	_	2	_	_	_
6	.	_	,	,	_	-1	_	_	_",-1,1
5,the fucking royals bitch work,"1	the	_	D	D	_	3	_	_	_
2	fucking	_	A	A	_	3	_	_	_
3	royals	_	^	^	_	4	_	_	_
4	bitch	_	N	N	_	5	_	_	_
5	work	_	N	N	_	0	_	_	_",-1,1
6,tired of these butthurt  commercials. ya phones trash b.. we don't want em,"1	tired	_	A	A	_	0	_	_	_
2	of	_	P	P	_	1	_	_	_
3	these	_	D	D	_	5	_	_	_
4	butthurt	_	A	A	_	5	_	_	_
5	commercials	_	N	N	_	2	_	_	_
6	.	_	,	,	_	-1	_	_	_
7	ya	_	D	D	_	10	_	_	_
8	phones	_	N	N	_	9	MWE	_	_
9	trash	_	N	N	_	10	MWE	_	_
10	b	_	N	N	_	0	_	_	_
11	..	_	,	,	_	-1	_	_	_
12	we	_	O	O	_	13	_	_	_
13	don't	_	V	V	_	0	_	_	_
14	want	_	V	V	_	13	_	_	_
15	em	_	O	O	_	14	_	_	_",1,-1
7,   oh....i know dude. i just went off on his ass i'm done with that faggot,"1	oh	_	!	!	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	i	_	O	O	_	4	_	_	_
4	know	_	V	V	_	0	_	_	_
5	dude	_	N	N	_	4	_	_	_
6	.	_	,	,	_	-1	_	_	_
7	i	_	O	O	_	9	_	_	_
8	just	_	R	R	_	9	_	_	_
9	went	_	V	V	_	0	_	_	_
10	off	_	T	T	_	9	MWE	_	_
11	on	_	P	P	_	9	_	_	_
12	his	_	D	D	_	13	_	_	_
13	ass	_	N	N	_	11	_	_	_
14	i'm	_	L	L	_	0	_	_	_
15	done	_	V	V	_	14	_	_	_
16	with	_	P	P	_	15	_	_	_
17	that	_	D	D	_	18	_	_	_
18	faggot	_	N	N	_	16	_	_	_",1,-1
8,  ann coulter admits on fox news that america has a negro problem. crime tcot gettingreal,"1	ann	_	^	^	_	2	MWE	_	_
2	coulter	_	^	^	_	3	_	_	_
3	admits	_	V	V	_	0	_	_	_
4	on	_	P	P	_	3	_	_	_
5	fox	_	^	^	_	6	_	_	_
6	news	_	N	N	_	4	_	_	_
7	that	_	P	P	_	3	_	_	_
8	america	_	^	^	_	9	_	_	_
9	has	_	V	V	_	7	_	_	_
10	a	_	D	D	_	12	_	_	_
11	negro	_	N	N	_	12	_	_	_
12	problem	_	N	N	_	9	_	_	_
13	.	_	,	,	_	-1	_	_	_
14	crime	_	N	N	_	15	_	_	_
15	tcot	_	N	N	_	16	_	_	_
16	gettingreal	_	V	V	_	0	_	_	_",-1,1
9,stupid loose pussyed bitch,"1	stupid	_	A	A	_	4	_	_	_
2	loose	_	A	A	_	4	_	_	_
3	pussyed	_	N	N	_	4	_	_	_
4	bitch	_	N	N	_	0	_	_	_",-1,1
10,  us ghettos-driven by liberal ideology; forged by unions ; bankrupted by self-serving dems catering to parasitestcot http://,"1	us	_	O	O	_	2	_	_	_
2	ghettos-driven	_	N	N	_	0	_	_	_
3	by	_	P	P	_	2	_	_	_
4	liberal	_	A	A	_	5	_	_	_
5	ideology	_	N	N	_	3	_	_	_
6	;	_	,	,	_	-1	_	_	_
7	forged	_	V	V	_	0	_	_	_
8	by	_	P	P	_	7	_	_	_
9	unions	_	N	N	_	8	_	_	_
10	;	_	,	,	_	-1	_	_	_
11	bankrupted	_	V	V	_	0	_	_	_
12	by	_	P	P	_	11	_	_	_
13	self-serving	_	A	A	_	15	_	_	_
14	dems	_	N	N	_	15	_	_	_
15	catering	_	N	N	_	12	_	_	_
16	to	_	P	P	_	11	_	_	_
17	parasitestcot	_	V	V	_	16	_	_	_
18	http://	_	U	U	_	-1	_	_	_",-1,1
11,  you smell like weed... and bitch you smell like sober.,"1	you	_	O	O	_	2	_	_	_
2	smell	_	V	V	_	6	CONJ	_	_
3	like	_	P	P	_	2	_	_	_
4	weed	_	N	N	_	3	_	_	_
5	...	_	,	,	_	-1	_	_	_
6	and	_	&	&	_	0	_	_	_
7	bitch	_	N	N	_	6	CONJ	_	_
8	you	_	O	O	_	9	_	_	_
9	smell	_	V	V	_	0	_	_	_
10	like	_	P	P	_	9	_	_	_
11	sober	_	A	A	_	10	_	_	_
12	.	_	,	,	_	-1	_	_	_",1,-1
12,that pic is now circulated by jihadis with a call to kill him.  saudi isis syria,"1	that	_	D	D	_	2	_	_	_
2	pic	_	N	N	_	3	_	_	_
3	is	_	V	V	_	0	_	_	_
4	now	_	R	R	_	5	_	_	_
5	circulated	_	V	V	_	3	_	_	_
6	by	_	P	P	_	5	_	_	_
7	jihadis	_	^	^	_	6	_	_	_
8	with	_	P	P	_	5	_	_	_
9	a	_	D	D	_	10	_	_	_
10	call	_	N	N	_	8	_	_	_
11	to	_	P	P	_	10	_	_	_
12	kill	_	V	V	_	11	_	_	_
13	him	_	O	O	_	12	_	_	_
14	.	_	,	,	_	-1	_	_	_
15	saudi	_	G	G	_	16	MWE	_	_
16	isis	_	^	^	_	17	MWE	_	_
17	syria	_	^	^	_	0	_	_	_",-1,1
13,  you got niggas ; i got bitches,"1	you	_	O	O	_	2	_	_	_
2	got	_	V	V	_	0	_	_	_
3	niggas	_	N	N	_	2	_	_	_
4	;	_	,	,	_	-1	_	_	_
5	i	_	O	O	_	6	_	_	_
6	got	_	V	V	_	0	_	_	_
7	bitches	_	N	N	_	6	_	_	_",-1,1
14,stuck up serious bitches are possibly the worst type of girls. ever.,"1	stuck	_	V	V	_	0	_	_	_
