class,tweet,CoNLL
1,  fuck up hoes meaning stfu hoes lol ,1	fuckuphoesmeaningstfuhoeslol	_	!	!	_	0	_	_	_
-1,  you other niggas a call up a bitch to fight a bitch naw not me i'm whomp that trick so she can feel where i'm coming from,1	youotherniggaacallupabitchtofightabitchnawnotmeimwhomthattricksoshecanfeelwhereimcomingfrom	_	!	!	_	0	_	_	_
1,"   ion wanna hear it, then hoes faker than momma dee's teeth",1	ionwannahearitthenhoesfakethanmommadeedsteeth	_	!	!	_	0	_	_	_
-1,fredo was a bitch ass nigga. how niggas fire over 20 shots at his pops but he didn't get off 1 cuz he dropped the gun smh,1	fredwasabitchassniggahowniggafireover20shotsathispopsbuthedidntgetoff1cuzhedroppedthegunsmh	_	G	G	_	-1	_	_	_
1," yeah....but your the one who wanted followers,you gotta work it bitch","1	yeah	_	!	!	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	butyourtheonewhowantedfollowers	_	N	N	_	0	_	_	_
4	,	_	,	,	_	-1	_	_	_
5	yougottiworkitbitch	_	!	!	_	0	_	_	_"
1, can y'all females let this sink in for min? moment of silence to get y'all bitches thinking right? ,1	canyallfemalesletthissinkinformindmomentofsilencetogetyallbitchesthinkingright	_	!	!	_	0	_	_	_
-1, better nig. lol but if anything ill flip u the 10 or something. im tryna get some more cash,1	betternighlolbutifanythingillfliputhe10orsomethingimtrnagetsomemorecash	_	!	!	_	0	_	_	_
-1,  this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto ; stereotypi,1	thisgirlcomesintoclasswithfriedchickenandpullshotsauceoutofherpurseimeancomeonhowghettopstereotype	_	^	^	_	-1	_	_	_
-1,"almost got to see a white boy get beat around today, but he ran like a bitch.",1	almostgottoseeawhiteboygetbeataroundtodaybutheranlikeabitch	_	!	!	_	0	_	_	_
1,"  dear everyone using natural deodorant, it's not working, you stinky bitch.",1	deareveryoneusingnaturaldeodorantitsnotworkingyoustinkybitch	_	!	!	_	0	_	_	_
