class,tweet,CoNLL
-1, who cares tbh ones a shitty dirty argentino ; the other is a feather fisted nigger,"1	who	_	O	O	_	2	_	_	_
2	cares	_	V	V	_	0	_	_	_
3	tbh	_	N	N	_	2	_	_	_
4	ones	_	N	N	_	2	_	_	_
5	a	_	D	D	_	8	_	_	_
6	shitty	_	A	A	_	8	_	_	_
7	dirty	_	A	A	_	8	_	_	_
8	argentino	_	^	^	_	2	_	_	_
9	;	_	,	,	_	-1	_	_	_
10	the	_	D	D	_	11	_	_	_
11	other	_	A	A	_	12	_	_	_
12	is	_	V	V	_	0	_	_	_
13	a	_	D	D	_	14	_	_	_
14	feather	_	N	N	_	15	_	_	_
15	fisted	_	V	V	_	12	_	_	_
16	nigger	_	N	N	_	15	_	_	_"
-1, nope not at all but i'm stuck in a house full of fucking niggers help me escape ,"1	nope	_	!	!	_	0	_	_	_
2	not	_	R	R	_	3	_	_	_
3	at	_	P	P	_	0	_	_	_
4	all	_	D	D	_	3	MWE	_	_
5	but	_	&	&	_	4	_	_	_
6	i'm	_	L	L	_	5	CONJ	_	_
7	stuck	_	V	V	_	6	_	_	_
8	in	_	P	P	_	7	_	_	_
9	a	_	D	D	_	10	_	_	_
10	house	_	N	N	_	8	_	_	_
11	full	_	A	A	_	10	_	_	_
12	of	_	P	P	_	11	_	_	_
13	fucking	_	A	A	_	14	_	_	_
14	niggers	_	N	N	_	15	_	_	_
15	help	_	V	V	_	12	_	_	_
16	me	_	O	O	_	17	_	_	_
17	escape	_	V	V	_	15	_	_	_"
1,  fuck up hoes meaning stfu hoes lol ,"1	fuck	_	V	V	_	0	_	_	_
2	up	_	T	T	_	1	MWE	_	_
3	hoes	_	N	N	_	4	_	_	_
4	meaning	_	V	V	_	1	_	_	_
5	stfu	_	!	!	_	0	_	_	_
6	hoes	_	N	N	_	4	_	_	_
7	lol	_	!	!	_	0	_	_	_"
-1,  you other niggas a call up a bitch to fight a bitch naw not me i'm whomp that trick so she can feel where i'm coming from,"1	you	_	O	O	_	2	_	_	_
2	other	_	A	A	_	3	_	_	_
3	niggas	_	N	N	_	0	_	_	_
4	a	_	D	D	_	5	_	_	_
5	call	_	N	N	_	3	_	_	_
6	up	_	T	T	_	5	MWE	_	_
7	a	_	D	D	_	8	_	_	_
8	bitch	_	N	N	_	0	_	_	_
9	to	_	P	P	_	8	_	_	_
10	fight	_	V	V	_	9	_	_	_
11	a	_	D	D	_	12	_	_	_
12	bitch	_	N	N	_	10	_	_	_
13	naw	_	!	!	_	0	_	_	_
14	not	_	R	R	_	15	_	_	_
15	me	_	O	O	_	10	_	_	_
16	i'm	_	L	L	_	0	_	_	_
17	whomp	_	!	!	_	0	_	_	_
18	that	_	D	D	_	19	_	_	_
19	trick	_	N	N	_	16	_	_	_
20	so	_	P	P	_	10	_	_	_
21	she	_	O	O	_	22	_	_	_
22	can	_	V	V	_	20	_	_	_
23	feel	_	V	V	_	22	_	_	_
24	where	_	R	R	_	23	_	_	_
25	i'm	_	L	L	_	24	_	_	_
